STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AGE00147780,1932-08-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,227.3,"5,E",0.0,"2,E",0.0,"2,E",0.0,"4,E",27.0,"4,E",13.0,"4,E",19320805.0,",2,E",19320815.0,",4,E",17.0,"2,E,05,",40.0,"4,E,15,",0.0,E,0.0,"4,E",2.69,"5,E",3.2039999999999997,"4,,,E",2.176,"2,,,E"
AGE00147780,1932-10-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,,,0.0,"3,E",0.0,"3,E",0.0,"3,E",15.0,"3,E",1.0,"3,E",19321016.0,",3,E",19321002.0,",3,E",10.0,"3,E,16,",35.0,"3,E,02,",,,,,1.957,"6,E",2.2640000000000002,"3,,,E",1.65,"3,,,E"
AGE00147780,1932-12-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,0.0,"3,E",0.0,"2,E",0.0,"2,E",0.0,"2,E",0.0,"2,E",0.0,"2,E",19321227.0,"+,2,E",19321213.0,",2,E",8.0,"2,E,27,+",20.0,"2,E,13,",,,146.3,"2,E",1.316,"3,E",1.541,"2,,,E",1.09,"2,,,E"
AGE00147780,1933-02-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,0.0,"5,E",0.0,"3,E",0.0,"3,E",0.0,"3,E",1.0,"3,E",0.0,"3,E",19330220.0,",3,E",19330206.0,",3,E",1.0,"3,E,20,",23.0,"3,E,06,",,,156.7,"3,E",1.128,"5,E",1.424,"3,,,E",0.8320000000000001,"3,,,E"
AGE00147780,1933-05-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,35.5,"1,E",0.0,",E",0.0,",E",0.0,"1,E",19.0,"1,E",1.0,"1,E",19330528.0,"+,,E",19330501.0,",1,E",12.0,",E,28,+",37.0,"1,E,01,",,,19.0,"1,E",1.8850000000000002,"1,E",2.29,"1,,,E",1.481,",,,E"
AGE00147780,1933-06-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,78.2,"4,E",0.0,"2,E",0.0,"2,E",0.0,"2,E",28.0,"2,E",0.0,"2,E",19330605.0,",2,E",19330611.0,",2,E",14.0,"2,E,05,",32.0,"2,E,11,",,,0.3,"2,E",2.125,"4,E",2.511,"2,,,E",1.739,"2,,,E"
AGE00147780,1933-07-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,190.7,",E",0.0,",E",0.0,",E",0.0,",E",31.0,",E",3.0,",E",19330707.0,",,E",19330721.0,",,E",14.0,",E,07,",35.0,",E,21,",0.0,E,0.0,",E",2.448,",E",2.832,",,,E",2.065,",,,E"
AGE00147780,1933-09-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,197.8,"3,E",0.0,"1,E",0.0,"1,E",0.0,"2,E",28.0,"2,E",4.0,"2,E",19330925.0,"+,1,E",19330914.0,",2,E",12.0,"1,E,25,+",36.0,"2,E,14,",,,1.3,"2,E",2.574,"3,E",2.904,"2,,,E",2.245,"1,,,E"
AGE00147780,1933-10-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,127.2,"2,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",24.0,"1,E",1.0,"1,E",19331031.0,"+,1,E",19331008.0,",1,E",14.0,"1,E,31,+",35.0,"1,E,08,",,,7.3,"1,E",2.2600000000000002,"2,E",2.567,"1,,,E",1.953,"1,,,E"
AGE00147780,1933-11-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,0.2,"3,E",0.0,"1,E",0.0,"1,E",0.0,"2,E",1.0,"2,E",0.0,"2,E",19331114.0,",1,E",19331118.0,",2,E",8.0,"1,E,14,",22.0,"2,E,18,",,,112.7,"2,E",1.426,"3,E",1.625,"2,,,E",1.228,"1,,,E"
AGE00147780,1933-12-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,,,0.0,"3,E",0.0,"3,E",0.0,"5,E",0.0,"5,E",0.0,"5,E",19331229.0,",3,E",19331212.0,",5,E",2.0,"3,E,29,",17.0,"5,E,12,",,,,,1.127,"6,E",1.346,"5,,,E",0.907,"3,,,E"
AGE00147780,1934-03-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,,,0.0,"4,E",0.0,"4,E",0.0,"4,E",0.0,"4,E",0.0,"4,E",19340302.0,",4,E",19340320.0,"+,4,E",2.0,"4,E,02,",20.0,"4,E,20,+",,,,,1.141,"6,E",1.378,"4,,,E",0.9039999999999999,"4,,,E"
AGE00147780,1934-04-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,3.7,"2,E",0.0,"2,E",0.0,"2,E",0.0,"2,E",6.0,"2,E",0.0,"2,E",19340404.0,"+,2,E",19340411.0,",2,E",9.0,"2,E,04,+",26.0,"2,E,11,",,,81.0,"2,E",1.557,"2,E",1.893,"2,,,E",1.221,"2,,,E"
AGE00147780,1934-05-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,44.3,"2,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",14.0,"1,E",0.0,"1,E",19340505.0,"+,1,E",19340531.0,"+,1,E",12.0,"1,E,05,+",29.0,"1,E,31,+",,,31.0,"1,E",1.8670000000000002,"2,E",2.163,"1,,,E",1.5699999999999998,"1,,,E"
AGE00147780,1934-06-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,137.5,",E",0.0,",E",0.0,",E",0.0,",E",30.0,",E",4.0,",E",19340630.0,"+,,E",19340604.0,"+,,E",15.0,",E,30,+",35.0,",E,04,+",,,0.0,",E",2.2920000000000003,",E",2.673,",,,E",1.9100000000000001,",,,E"
AGE00147780,1934-07-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,220.2,"3,E",0.0,"1,E",0.0,"1,E",0.0,"2,E",29.0,"2,E",9.0,"2,E",19340701.0,",1,E",19340711.0,",2,E",17.0,"1,E,01,",38.0,"2,E,11,",0.0,E,0.0,"2,E",2.6239999999999997,"3,E",3.0140000000000002,"2,,,E",2.2329999999999997,"1,,,E"
AGE00147780,1934-08-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,,,0.0,"5,E",0.0,"5,E",0.0,"4,E",27.0,"4,E",6.0,"4,E",19340828.0,",5,E",19340817.0,",4,E",19.0,"5,E,28,",37.0,"4,E,17,",,,,,2.5629999999999997,"7,E",2.907,"4,,,E",2.2190000000000003,"5,,,E"
AGE00147780,1934-09-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,160.0,",E",0.0,",E",0.0,",E",0.0,",E",29.0,",E",0.0,",E",19340922.0,"+,,E",19340909.0,"+,,E",16.0,",E,22,+",32.0,",E,09,+",,,0.0,",E",2.367,",E",2.637,",,,E",2.097,",,,E"
AGE00147780,1934-12-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,0.0,"4,E",0.0,"1,E",0.0,"1,E",0.0,"3,E",0.0,"3,E",0.0,"3,E",19341225.0,"+,1,E",19341215.0,"+,3,E",9.0,"1,E,25,+",20.0,"3,E,15,+",,,117.5,"3,E",1.392,"4,E",1.614,"3,,,E",1.17,"1,,,E"
AGE00147780,1935-01-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",0.0,E,0.0,"3,E",0.0,"1,E",0.0,"1,E",0.0,"2,E",0.0,"2,E",0.0,"2,E",19350128.0,"+,1,E",19350102.0,"+,2,E",2.0,"1,E,28,+",13.0,"2,E,02,+",,,272.3,"2,E",0.8619999999999999,"3,E",1.038,"2,,,E",0.687,"1,,,E"
AGE00147780,1935-02-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",0.0,E,0.0,"5,E",0.0,"3,E",0.0,"3,E",0.0,"3,E",1.0,"3,E",0.0,"3,E",19350202.0,",3,E",19350223.0,",3,E",4.0,"3,E,02,",22.0,"3,E,23,",,,163.2,"3,E",1.134,"5,E",1.372,"3,,,E",0.8960000000000001,"3,,,E"
AGE00147780,1935-03-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",0.0,E,0.0,"4,E",0.0,"2,E",0.0,"2,E",0.0,"2,E",0.0,"2,E",0.0,"2,E",19350313.0,",2,E",19350321.0,",2,E",5.0,"2,E,13,",21.0,"2,E,21,",,,158.0,"2,E",1.253,"4,E",1.497,"2,,,E",1.01,"2,,,E"
AGE00147780,1935-04-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,,,0.0,"3,E",0.0,"3,E",0.0,"3,E",11.0,"3,E",0.0,"3,E",19350406.0,"+,3,E",19350412.0,",3,E",8.0,"3,E,06,+",29.0,"3,E,12,",,,,,1.641,"6,E",2.044,"3,,,E",1.2369999999999999,"3,,,E"
AGE00147780,1935-05-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,9.0,"1,E",0.0,",E",0.0,",E",0.0,"1,E",8.0,"1,E",0.0,"1,E",19350524.0,"+,,E",19350515.0,",1,E",11.0,",E,24,+",31.0,"1,E,15,",,,51.0,"1,E",1.6969999999999998,"1,E",2.037,"1,,,E",1.358,",,,E"
AGE00147780,1935-06-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,177.3,"1,E",0.0,"1,E",0.0,"1,E",0.0,",E",29.0,",E",7.0,",E",19350611.0,"+,1,E",19350604.0,",,E",17.0,"1,E,11,+",36.0,",E,04,",,,0.0,",E",2.431,"1,E",2.877,",,,E",1.986,"1,,,E"
AGE00147780,1935-07-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,249.2,",E",0.0,",E",0.0,",E",0.0,",E",31.0,",E",8.0,",E",19350701.0,",,E",19350719.0,",,E",19.0,",E,01,",38.0,",E,19,",0.0,E,0.0,",E",2.637,",E",3.045,",,,E",2.229,",,,E"
AGE00147780,1935-09-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,159.7,"2,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",29.0,"1,E",2.0,"1,E",19350920.0,",1,E",19350902.0,"+,1,E",18.0,"1,E,20,",36.0,"1,E,02,+",,,0.0,"1,E",2.416,"2,E",2.728,"1,,,E",2.103,"1,,,E"
AGE00147780,1935-11-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,3.0,",E",0.0,",E",0.0,",E",0.0,",E",2.0,",E",0.0,",E",19351128.0,",,E",19351110.0,",,E",9.0,",E,28,",23.0,",E,10,",,,88.5,",E",1.548,",E",1.777,",,,E",1.3199999999999998,",,,E"
AGE00147780,1935-12-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,0.0,"2,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",2.0,"1,E",0.0,"1,E",19351212.0,",1,E",19351228.0,"+,1,E",5.0,"1,E,12,",22.0,"1,E,28,+",,,152.2,"1,E",1.3199999999999998,"2,E",1.543,"1,,,E",1.097,"1,,,E"
AGE00147780,1936-01-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",2.0,E,2.0,"4,E",0.0,"2,E",0.0,"2,E",0.0,"2,E",2.0,"2,E",0.0,"2,E",19360115.0,",2,E",19360122.0,",2,E",7.0,"2,E,15,",23.0,"2,E,22,",,,137.0,"2,E",1.355,"4,E",1.6,"2,,,E",1.1099999999999999,"2,,,E"
AGE00147780,1936-02-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,,,0.0,"5,E",0.0,"5,E",0.0,"3,E",4.0,"3,E",0.0,"3,E",19360208.0,",5,E",19360221.0,",3,E",6.0,"5,E,08,",27.0,"3,E,21,",,,,,1.3880000000000001,"7,E",1.6960000000000002,"3,,,E",1.079,"5,,,E"
AGE00147780,1936-03-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,0.2,"4,E",0.0,"2,E",0.0,"2,E",0.0,"2,E",3.0,"2,E",0.0,"2,E",19360301.0,",2,E",19360310.0,",2,E",6.0,"2,E,01,",25.0,"2,E,10,",,,129.2,"2,E",1.371,"4,E",1.6760000000000002,"2,,,E",1.066,"2,,,E"
AGE00147780,1936-04-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,,,0.0,"3,E",0.0,"3,E",0.0,"4,E",9.0,"4,E",1.0,"4,E",19360418.0,",3,E",19360406.0,",4,E",8.0,"3,E,18,",34.0,"4,E,06,",,,,,1.668,"6,E",2.077,"4,,,E",1.259,"3,,,E"
AGE00147780,1936-05-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,10.3,",E",0.0,",E",0.0,",E",0.0,",E",9.0,",E",0.0,",E",19360518.0,"+,,E",19360524.0,",,E",9.0,",E,18,+",31.0,",E,24,",,,54.7,",E",1.69,",E",2.032,",,,E",1.348,",,,E"
AGE00147780,1936-06-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,115.0,",E",0.0,",E",0.0,",E",0.0,",E",25.0,",E",3.0,",E",19360622.0,",,E",19360620.0,"+,,E",14.0,",E,22,",34.0,",E,20,+",,,3.0,",E",2.207,",E",2.663,",,,E",1.75,",,,E"
AGE00147780,1937-05-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,24.2,"5,E",0.0,"2,E",0.0,"2,E",0.0,"3,E",10.0,"3,E",0.0,"3,E",19370504.0,",2,E",19370517.0,"+,3,E",11.0,"2,E,04,",26.0,"3,E,17,+",,,17.8,"3,E",1.848,"5,E",2.057,"3,,,E",1.638,"2,,,E"
AGE00147780,1937-06-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,110.8,"4,E",0.0,"2,E",0.0,"2,E",0.0,"3,E",27.0,"3,E",0.0,"3,E",19370624.0,",2,E",19370609.0,"+,3,E",13.0,"2,E,24,",29.0,"3,E,09,+",,,0.0,"3,E",2.262,"4,E",2.496,"3,,,E",2.029,"2,,,E"
AGE00147780,1937-08-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,252.2,",E",0.0,",E",0.0,",E",0.0,",E",31.0,",E",2.0,",E",19370819.0,"+,,E",19370831.0,",,E",22.0,",E,19,+",37.0,",E,31,",,,0.0,",E",2.647,",E",2.9059999999999997,",,,E",2.387,",,,E"
AGE00147780,1937-09-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,126.7,"5,E",0.0,"3,E",0.0,"3,E",0.0,"3,E",26.0,"3,E",0.0,"3,E",19370913.0,",3,E",19370928.0,"+,3,E",15.0,"3,E,13,",32.0,"3,E,28,+",,,0.0,"3,E",2.33,"5,E",2.622,"3,,,E",2.037,"3,,,E"
AGE00147780,1937-10-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,,,0.0,"3,E",0.0,"3,E",0.0,"4,E",13.0,"4,E",0.0,"4,E",19371019.0,"+,3,E",19371002.0,",4,E",14.0,"3,E,19,+",31.0,"4,E,02,",,,,,1.986,"6,E",2.241,"4,,,E",1.732,"3,,,E"
AGE00147780,1937-11-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,21.0,"4,E",0.0,"2,E",0.0,"2,E",0.0,"2,E",12.0,"2,E",0.0,"2,E",19371129.0,",2,E",19371101.0,",2,E",12.0,"2,E,29,",26.0,"2,E,01,",,,24.2,"2,E",1.823,"4,E",2.05,"2,,,E",1.596,"2,,,E"
AGE00147780,1938-01-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",0.0,E,0.0,"2,E",0.0,"2,E",0.0,"2,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",19380107.0,"+,2,E",19380109.0,",1,E",4.0,"2,E,07,+",17.0,"1,E,09,",,,231.2,"1,E",1.03,"2,E",1.26,"1,,,E",0.8,"2,,,E"
AGE00147780,1938-02-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",0.0,E,0.0,"4,E",0.0,"2,E",0.0,"2,E",0.0,"2,E",0.0,"2,E",0.0,"2,E",19380214.0,",2,E",19380201.0,",2,E",1.0,"2,E,14,",16.0,"2,E,01,",,,237.5,"2,E",0.8400000000000001,"4,E",1.1039999999999999,"2,,,E",0.577,"2,,,E"
AGE00147780,1938-03-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",0.0,E,0.0,"2,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",19380315.0,"+,1,E",19380323.0,"+,1,E",5.0,"1,E,15,+",18.0,"1,E,23,+",,,204.2,"1,E",1.125,"2,E",1.373,"1,,,E",0.877,"1,,,E"
AGE00147780,1938-04-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",0.0,E,0.0,",E",0.0,",E",0.0,",E",0.0,",E",0.0,",E",0.0,",E",19380412.0,",,E",19380417.0,",,E",7.0,",E,12,",20.0,",E,17,",,,153.5,",E",1.322,",E",1.5230000000000001,",,,E",1.1199999999999999,",,,E"
AGE00147780,1938-05-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",10.2,E,10.2,",E",0.0,",E",0.0,",E",0.0,",E",6.0,",E",0.0,",E",19380522.0,"+,,E",19380515.0,",,E",9.0,",E,22,+",26.0,",E,15,",,,83.5,",E",1.597,",E",1.8519999999999999,",,,E",1.342,",,,E"
AGE00147780,1938-06-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",188.5,E,178.3,"1,E",0.0,"1,E",0.0,"1,E",0.0,",E",27.0,",E",5.0,",E",19380615.0,"+,1,E",19380624.0,",,E",16.0,"1,E,15,+",35.0,",E,24,",,,0.0,",E",2.444,"1,E",2.853,",,,E",2.034,"1,,,E"
AGE00147780,1938-07-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",433.7,E,245.2,",E",0.0,",E",0.0,",E",0.0,",E",31.0,",E",8.0,",E",19380720.0,"+,,E",19380708.0,",,E",18.0,",E,20,+",40.0,",E,08,",0.0,E,0.0,",E",2.6239999999999997,",E",3.09,",,,E",2.158,",,,E"
AGE00147780,1938-09-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,144.7,"2,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",29.0,"1,E",1.0,"1,E",19380910.0,",1,E",19380903.0,",1,E",16.0,"1,E,10,",37.0,"1,E,03,",,,0.0,"1,E",2.353,"2,E",2.693,"1,,,E",2.0140000000000002,"1,,,E"
AGE00147780,1938-10-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,80.7,",E",0.0,",E",0.0,",E",0.0,",E",25.0,",E",0.0,",E",19381030.0,",,E",19381010.0,",,E",10.0,",E,30,",30.0,",E,10,",,,18.5,",E",2.034,",E",2.316,",,,E",1.752,",,,E"
AGE00147780,1938-12-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,1.2,"5,E",0.0,"3,E",0.0,"3,E",0.0,"5,E",1.0,"5,E",0.0,"5,E",19381225.0,"+,3,E",19381209.0,",5,E",5.0,"3,E,25,+",25.0,"5,E,09,",,,141.3,"5,E",1.276,"5,E",1.4849999999999999,"5,,,E",1.068,"3,,,E"
