YEAR,ANNUAL_ANOMALY,ANNUAL_STD,RECORD_COUNT,TREND_LINE
2001,0.0106,0.1087,44,-0.004807826832220918
2002,0.0233,0.0839,67,-0.0034152514411625035
2003,0.067,0.0916,70,-0.0020226760501036445
2004,-0.0248,0.1137,81,-0.0006301006590452296
2005,-0.0304,0.1227,86,0.0007624747320136294
2006,0.0414,0.1082,89,0.0021550501230724883
2007,0.0062,0.0953,88,0.003547625514130903
2008,-0.0063,0.0808,112,0.004940200905189762
2009,-0.0031,0.1074,109,0.006332776296248177
2010,0.0046,0.1072,94,0.007725351687307036
2011,-0.0114,0.0836,99,0.009117927078365895
2012,0.0373,0.133,101,0.01051050246942431
2013,-0.0205,0.1298,83,0.011903077860483169
2014,0.0353,0.1124,70,0.013295653251541584
2015,0.0332,0.0682,70,0.014688228642600443
2016,0.0419,0.1158,75,0.016080804033658858
2018,-0.0244,0.0372,9,0.018865954815776576
2019,0.0046,0.0451,7,0.02025853020683499
2020,0.0246,0.0696,9,0.02165110559789385
2021,,,0,0.023043680988952264
2022,0.1675,0.1178,42,0.024436256380011123
2023,0.1015,0.1186,40,0.025828831771069538
2024,0.1098,0.0889,32,0.027221407162128397
2025,0.1367,0.1,21,0.028613982553187256
